Date	Debit
01/01/1990	70.711
02/01/1990	78.593
03/01/1990	197.672
04/01/1990	91.722
05/01/1990	91.346
06/01/1990	98.265
07/01/1990	86.4
08/01/1990	107.345
09/01/1990	105.452
10/01/1990	88.312
11/01/1990	89.543
12/01/1990	99.604
13/01/1990	91.918
14/01/1990	88.568
15/01/1990	93.916
16/01/1990	87.977
17/01/1990	105.62
18/01/1990	103.246
19/01/1990	82.089
20/01/1990	84.958
21/01/1990	95.02
22/01/1990	71.426
23/01/1990	65.917
24/01/1990	78.54
25/01/1990	61.676
26/01/1990	66.43
27/01/1990	74.422
28/01/1990	75.196
29/01/1990	86.227
30/01/1990	84.471
31/01/1990	85.941
01/02/1990	84.87
02/02/1990	78.636
03/02/1990	67.394
04/02/1990	67.593
05/02/1990	78.016
06/02/1990	75.054
07/02/1990	70.856
08/02/1990	83.201
09/02/1990	70.615
10/02/1990	75.641
11/02/1990	61.939
12/02/1990	62.065
13/02/1990	57.176
14/02/1990	60.486
15/02/1990	48.216
16/02/1990	43.376
17/02/1990	51.812
18/02/1990	45.892
19/02/1990	47.274
20/02/1990	49.707
21/02/1990	61.562
22/02/1990	49.832
23/02/1990	41.308
24/02/1990	46.95
25/02/1990	37.837
26/02/1990	29.452
27/02/1990	31.847
28/02/1990	29.66
01/03/1990	28.518
02/03/1990	35.931
03/03/1990	51.06
04/03/1990	40.556
05/03/1990	48.419
06/03/1990	45.597
07/03/1990	39.753
08/03/1990	48.815
09/03/1990	268.242
10/03/1990	961.638
11/03/1990	1257.346
12/03/1990	446.494
13/03/1990	338.439
14/03/1990	266.306
15/03/1990	243.561
16/03/1990	256.88
17/03/1990	279.165
18/03/1990	228.017
19/03/1990	203.684
20/03/1990	198.755
21/03/1990	168.235
22/03/1990	188.928
23/03/1990	174.124
24/03/1990	186.432
25/03/1990	186.229
26/03/1990	153.288
27/03/1990	151.563
28/03/1990	149.323
29/03/1990	168.84
30/03/1990	332.135
31/03/1990	376.212
01/04/1990	280.816
02/04/1990	227.395
03/04/1990	162.761
04/04/1990	158.979
05/04/1990	160.345
06/04/1990	170.435
07/04/1990	169.22
08/04/1990	153.666
09/04/1990	132.517
10/04/1990	145.147
11/04/1990	121.501
12/04/1990	122.548
13/04/1990	99.452
14/04/1990	93.158
15/04/1990	83.99
16/04/1990	71.532
17/04/1990	60.243
18/04/1990	56.842
19/04/1990	77.849
20/04/1990	106.535
21/04/1990	133.772
22/04/1990	113.524
23/04/1990	124.971
24/04/1990	125.684
25/04/1990	129.082
26/04/1990	127.012
27/04/1990	107.616
28/04/1990	111.466
29/04/1990	88.166
30/04/1990	88.2
01/05/1990	75.798
02/05/1990	63.195
03/05/1990	75.182
04/05/1990	94.825
05/05/1990	132.594
06/05/1990	140.238
07/05/1990	175.951
